exercise,muscle,equipment,description
Rickshaw Carry,Forearms,Other,Average
Single-Leg Press,Quadriceps,Machine,Average
Landmine twist,Abdominals,Other,Average
Weighted pull-up,Lats,Other,Average
T-Bar Row with Handle,Middle Back,Other,Average
Palms-down wrist curl over bench,Forearms,Barbell,Average
Atlas Stones,Lower Back,Other,Average
Dumbbell front raise to lateral raise,Shoulders,Dumbbell,Average
Clean from Blocks,Quadriceps,Barbell,Average
Incline Hammer Curls,Biceps,Dumbbell,Average
Barbell glute bridge,Glutes,Barbell,Average
Clean and press,Shoulders,Barbell,Average
Triceps dip,Triceps,Body Only,Average
Dumbbell farmer's walk,Forearms,Other,Average
Palms-up wrist curl over bench,Forearms,Barbell,Average
Barbell Full Squat,Quadriceps,Barbell,Average
Barbell deficit deadlift,Lower Back,Barbell,Average
Barbell Deadlift,Hamstrings,Barbell,Average
Single-arm palm-in dumbbell shoulder press,Shoulders,Dumbbell,Average
Romanian Deadlift With Dumbbells,Hamstrings,Dumbbell,Average
Tire flip,Quadriceps,Other,Average
Clean Deadlift,Hamstrings,Barbell,Average
Elbow plank,Abdominals,Body Only,Average
Bottoms Up,Abdominals,Body Only,Average
Barbell back squat to box,Quadriceps,Barbell,Average
Clean and jerk,Shoulders,Barbell,Average
Single-arm kettlebell push-press,Shoulders,Kettlebells,Average
Push-press,Quadriceps,Barbell,Average
Suspended ab fall-out,Abdominals,Other,Average
Military press,Shoulders,Barbell,Average
Power snatch-,Quadriceps,Barbell,Average
Sumo deadlift,Hamstrings,Barbell,Average
Hang Clean,Quadriceps,Barbell,Average
Dumbbell V-Sit Cross Jab,Abdominals,Dumbbell,Average
Standing palms-in shoulder press,Shoulders,Dumbbell,Average
Standing cable low-to-high twist,Abdominals,Cable,Average
Decline EZ-bar skullcrusher,Triceps,E-Z Curl Bar,Average
Standing behind-the-back wrist curl,Forearms,Barbell,Average
Seated finger curl,Forearms,Barbell,Average
Wide-grip barbell curl,Biceps,Barbell,Average
Dumbbell spell caster,Abdominals,Dumbbell,Average
Dumbbell floor press,Triceps,Dumbbell,Average
Lying Face Down Plate Neck Resistance,Neck,Other,Average
Pullups,Lats,Body Only,Average
Decline reverse crunch,Abdominals,Other,Average
Dumbbell Bench Press,Chest,Dumbbell,Average
Jumping rope,Quadriceps,Body Only,Average
Seated barbell shoulder press,Shoulders,Barbell,Average
EZ-bar spider curl,Biceps,Barbell,Average
Smith machine shrug,Traps,Machine,Average
Smith Machine Calf Raise,Calves,Machine,Average
Romanian Deadlift from Deficit,Hamstrings,Barbell,Average
Power Snatch,Hamstrings,Barbell,Average
Pushups,Chest,Body Only,Average
Barbell walking lunge,Quadriceps,Barbell,Average
Front Squats With Two Kettlebells,Quadriceps,Kettlebells,Average
Spider crawl,Abdominals,Body Only,Average
Power Clean from Blocks,Hamstrings,Barbell,Average
Single Leg Push-off,Quadriceps,Other,Average
Reverse-grip bent-over row,Middle Back,Barbell,Average
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Forearms,Cable,Average
Back extension,Lower Back,Body Only,Average
Close-grip bench press,Chest,Barbell,Average
Cocoons,Abdominals,Body Only,Average
Cross-Body Crunch,Abdominals,Body Only,Average
Dumbbell Flyes,Chest,Dumbbell,Average
Hammer Curls,Biceps,Dumbbell,Average
Incline dumbbell bench press,Chest,Dumbbell,Average
Low-cable cross-over,Chest,Cable,Average
Single-arm high-cable side bend,Abdominals,Cable,Average
Seated Dumbbell Press,Shoulders,Dumbbell,Average
Standing dumbbell shoulder press,Shoulders,Dumbbell,Average
EZ-Bar Curl,Biceps,E-Z Curl Bar,Average
Olympic Squat,Quadriceps,Barbell,Average
Natural Glute Ham Raise,Hamstrings,Body Only,Average
Axle Deadlift,Lower Back,Other,Average
Single-arm lateral raise,Shoulders,Dumbbell,Average
Power Partials,Shoulders,Dumbbell,Average
Leverage Shrug,Traps,Machine,Average
Cable V-bar push-down,Triceps,Cable,Average
Wrist Roller,Forearms,Other,Average
Incline dumbbell reverse fly,Shoulders,Dumbbell,Average
Stair climber,Quadriceps,Machine,Average
Elbow-to-knee crunch,Abdominals,Body Only,Average
Kettlebell Pistol Squat,Quadriceps,Kettlebells,Average
Overhead dumbbell front raise,Shoulders,Dumbbell,Average
Biceps curl to shoulder press,Biceps,Dumbbell,Average
Weighted bench dip,Triceps,Body Only,Average
Barbell Hip Thrust,Glutes,Barbell,Average
Forward lunge,Quadriceps,Body Only,Average
Barbell Bench Press - Medium Grip,Chest,Barbell,Average
Chest dip,Chest,Other,Average
Seated dumbbell shoulder press,Shoulders,Dumbbell,Average
Barbell Curl,Biceps,Barbell,Average
EZ-Bar Skullcrusher,Triceps,E-Z Curl Bar,Average
One-Arm Dumbbell Row,Middle Back,Dumbbell,Average
Alternating standing shoulder press,Shoulders,Dumbbell,Average
Concentration curl,Biceps,Dumbbell,Average
Decline Crunch,Abdominals,Body Only,Average
Decline Dumbbell Flyes,Chest,Dumbbell,Average
Single-arm incline rear delt raise,Shoulders,Dumbbell,Average
Alternating dumbbell front raise,Shoulders,Dumbbell,Average
Hanging toes-to-bar,Abdominals,Body Only,Average
Narrow-stance squat,Quadriceps,Barbell,Average
Kneeling cable oblique crunch,Abdominals,Cable,Average
Reverse Grip Triceps Pushdown,Triceps,Cable,Average
Bear crawl sled drag,Quadriceps,Other,Average
Rocky Pull-Ups/Pulldowns,Lats,Other,Average
Snatch-Grip Behind-The-Neck Overhead Press,Shoulders,Barbell,Average
Box Squat with Bands,Quadriceps,Barbell,Average
Flexor Incline Dumbbell Curls,Biceps,Dumbbell,Average
Seated One-Arm Dumbbell Palms-Up Wrist Curl,Forearms,Dumbbell,Average
Thigh adductor,Adductors,Machine,Average
Machine Bicep Curl,Biceps,Machine,Average
Car driver,Shoulders,Other,Average
Alternating Deltoid Raise,Shoulders,Dumbbell,Average
Hanging Oblique Knee Raise,Abdominals,Body Only,Average
Bodyweight Flyes,Chest,E-Z Curl Bar,Average
Standing Calf Raises,Calves,Machine,Average
Push-Ups - Close Triceps Position,Triceps,Body Only,Average
One-Arm Long Bar Row,Middle Back,Barbell,Average
Overhead cable curl,Biceps,Cable,Average
Single-dumbbell front raise,Shoulders,Dumbbell,Average
Incline cable chest fly,Chest,Cable,Average
Single-leg depth squat,Quadriceps,Bands,Average
Dumbbell suitcase crunch,Abdominals,Medicine Ball,Average
Plate Twist,Abdominals,Other,Average
Single-leg cable hip extension,Glutes,Cable,Average
Weighted Jump Squat,Quadriceps,Barbell,Average
Squat with Chains,Quadriceps,Barbell,Average
Gorilla Chin/Crunch,Abdominals,Body Only,Average
Kneeling cable triceps extension,Triceps,Cable,Average
Kneeling Cable Crunch With Alternating Oblique Twists,Abdominals,Cables,Average
Bicycling,Quadriceps,Other,Average
Arnold press,Shoulders,Dumbbell,Average
Weighted Crunches,Abdominals,Other,Average
Single-arm cable triceps extension,Triceps,Cable,Average
Barbell roll-out,Abdominals,Barbell,Average
Kneeling cable crunch,Abdominals,Cable,Average
Exercise Ball Pull-In,Abdominals,Exercise Ball,Average
Hanging leg raise,Abdominals,Body Only,Average
Barbell Ab Rollout - On Knees,Abdominals,Barbell,Average
Barbell Squat,Quadriceps,Barbell,Average
Decline barbell bench press,Chest,Barbell,Average
Dumbbell Bicep Curl,Biceps,Dumbbell,Average
Dumbbell Goblet Squat,Quadriceps,Dumbbell,Average
Dumbbell squat,Quadriceps,Dumbbell,Average
Barbell front squat,Quadriceps,Barbell,Average
Close-grip pull-down,Lats,Cable,Average
Triceps Pushdown - Rope Attachment,Triceps,Cables,Average
Side-to-side box skip,Quadriceps,Body Only,Average
Smith machine shoulder press,Shoulders,Machine,Average
Seated triceps press,Triceps,Dumbbell,Average
Pull-up,Lats,Body Only,Average
Wide-grip bench press,Chest,Barbell,Average
Close-grip EZ-bar curl,Biceps,Barbell,Average
T-Bar Row,Middle Back,Other,Average
Bent Over Two-Arm Long Bar Row,Middle Back,Barbell,Average
Muscle Up,Lats,Body Only,Average
Machine shoulder press,Shoulders,Machine,Average
Incline EZ-bar skullcrusher,Triceps,Barbell,Average
Alternating sit-through with crunch,Middle Back,Other,Average
Wide-Grip Decline Barbell Bench Press,Chest,Barbell,Average
Rower,Middle Back,Machine,Average
Snatch Deadlift,Hamstrings,Barbell,Average
Front Plate Raise,Shoulders,Other,Average
Decline Close-Grip Bench To Skull Crusher,Triceps,Barbell,Average
Lying Leg Curls,Hamstrings,Machine,Average
Cross-body hammer curl,Biceps,Dumbbell,Average
Shotgun row,Lats,Cable,Average
Ab Roller,Abdominals,Other,Average
Reverse-grip incline dumbbell bench press,Chest,Dumbbell,Average
Leg Press,Quadriceps,Machine,Average
Stiff-Legged Dumbbell Deadlift,Hamstrings,Dumbbell,Average
Cable Crossover,Chest,Cable,Average
Barbell Incline Bench Press Medium-Grip,Chest,Barbell,Average
Incline Dumbbell Flyes,Chest,Dumbbell,Average
Seated Cable Rows,Middle Back,Cable,Average
Tricep Dumbbell Kickback,Triceps,Dumbbell,Average
Otis-Up,Abdominals,Other,Average
Mountain climber,Abdominals,Body Only,Average
Ab bicycle,Abdominals,Body Only,Average
Barbell forward lunge,Quadriceps,Barbell,Average
3/4 sit-up,Abdominals,Body Only,Average
Exercise ball leg curl,Hamstrings,Exercise Ball,Average
Glute bridge,Glutes,Body Only,Average
Close-Grip Front Lat Pulldown,Lats,Cable,Average
Dip Machine,Triceps,Cable,Average
Incline dumbbell row,Middle Back,Dumbbell,Average
Dumbbell Lunges,Quadriceps,Dumbbell,Average
Single-arm standing shoulder press,Shoulders,Dumbbell,Average
Preacher Curl,Biceps,Barbell,Average
Reverse crunch,Abdominals,Body Only,Average
Standing Dumbbell Triceps Extension,Triceps,Dumbbell,Average
Elliptical trainer,Quadriceps,Machine,Average
Bodyweight squat,Quadriceps,Body Only,Average
Bent Over Two-Dumbbell Row With Palms In,Middle Back,Dumbbell,Average
Hex-bar deadlift,Quadriceps,Other,Average
Narrow-stance leg press,Quadriceps,Machine,Average
Single-leg glute bridge,Glutes,Body Only,Average
Barbell Curls Lying Against An Incline,Biceps,Barbell,Average
Standing Hip Circles,Abductors,Body Only,Average
Narrow Stance Hack Squats,Quadriceps,Machine,Average
Seated Close-Grip Concentration Barbell Curl,Biceps,Barbell,Average
Smith machine box squat,Quadriceps,Barbell,Average
Drop Push,Chest,Other,Average
Upside-down pull-up,Middle Back,Other,Average
Reverse Barbell Preacher Curls,Biceps,E-Z Curl Bar,Average
Close-grip EZ-bar bench press,Chest,E-Z Curl Bar,Average
Incline Push-Up,Chest,Body Only,Average
Hyperextensions With No Hyperextension Bench,Lower Back,Body Only,Average
Dumbbell front raise,Shoulders,Dumbbell,Average
Parallel Bar Dip,Triceps,Body Only,Average
Stairmaster,Quadriceps,Machine,Average
Groiners,Adductors,Body Only,Average
Neck Press,Chest,Barbell,Average
Broad jump,Quadriceps,Body Only,Average
Machine Squat,Quadriceps,Machine,Average
Ring dip,Triceps,Body Only,Average
Standing One-Arm Cable Curl,Biceps,Cable,Average
Burpee,Quadriceps,Body Only,Average
Double-arm triceps kick-back,Triceps,Dumbbell,Average
Dumbbell reverse lunge,Quadriceps,Dumbbell,Average
Seated Calf Raise,Calves,Machine,Average
Standing dumbbell shrug,Traps,Dumbbell,Average
Calf Press On The Leg Press Machine,Calves,Machine,Average
Barbell step-up,Quadriceps,Barbell,Average
Feet-elevated bench dip,Triceps,Body Only,Average
Bent Over Barbell Row,Middle Back,Barbell,Average
Crunches,Abdominals,Body Only,Average
Dumbbell Alternate Bicep Curl,Biceps,Dumbbell,Average
Bent-over dumbbell rear delt row,Shoulders,Dumbbell,Average
External Rotation with Cable,Shoulders,Cables,Average
Handstand push-up,Shoulders,Body Only,Average
Single-arm dumbbell preacher curl,Biceps,Dumbbell,Average
Step-up with knee raise,Glutes,Body Only,Average
Smith machine back squat,Quadriceps,Machine,Average
Incline dumbbell front raise,Shoulders,Dumbbell,Average
Alternate Incline Dumbbell Curl,Biceps,Dumbbell,Average
Standing dumbbell upright row,Traps,Dumbbell,Average
Single-arm cable front raise,Shoulders,Cable,Average
Two-Arm Kettlebell Military Press,Shoulders,Kettlebells,Average
Incline cable chest press,Chest,Cable,Average
Rope climb,Lats,Body Only,Average
Trail Running/Walking,Quadriceps,Body Only,Average
Standing Bradford press,Shoulders,Barbell,Average
Neutral-grip dumbbell bench press,Chest,Dumbbell,Average
Cable Chest Press,Chest,Cable,Average
Standing concentration curl,Biceps,Dumbbell,Average
Wide-Grip Rear Pull-Up,Lats,Body Only,Average
Kettlebell pass-through lunge,Hamstrings,Kettlebells,Average
Hands-elevated push-up,Chest,Body Only,Average
Deadlift with Bands,Lower Back,Barbell,Average
Straight-arm rope pull-down,Lats,Cable,Average
Barbell Shoulder Press,Shoulders,Barbell,Average
Power clean,Hamstrings,Barbell,Average
Hang Snatch,Hamstrings,Barbell,Average
Kettlebell sumo deadlift high pull,Traps,Kettlebells,Average
Calf-Machine Shoulder Shrug,Traps,Machine,Average
Bench Press - Powerlifting,Triceps,Barbell,Average
Rocking Standing Calf Raise,Calves,Barbell,Average
Goblet Squat,Quadriceps,Kettlebells,Average
Behind-the-head skullcrusher,Triceps,Barbell,Average
Seated palms-up wrist curl,Forearms,Barbell,Average
Reverse Cable Curl,Biceps,Cable,Average
Dumbbell side bend,Abdominals,Dumbbell,Average
Lat pull-down,Lats,Cable,Average
Side Lateral Raise,Shoulders,Dumbbell,Average
Alternating incline dumbbell biceps curl,Biceps,Dumbbell,Average
Kettlebell One-Legged Deadlift,Hamstrings,Kettlebells,Average
Alternate Hammer Curl,Biceps,Dumbbell,Average
Decline Push-Up,Chest,Body Only,Average
Captain's chair knee raise,Abdominals,Other,Average
Triceps Pushdown,Triceps,Cable,Average
Low cable overhead triceps extension,Triceps,Cable,Average
Single-arm cable cross-over,Chest,Cable,Average
Seated dumbbell biceps curl,Biceps,Dumbbell,Average
Battle ropes,Shoulders,Other,Average
Dead bug reach,Abdominals,Body Only,Average
Deadlift with Chains,Lower Back,Barbell,Average
Rope Crunch,Abdominals,Cable,Average
Palms-Up Dumbbell Wrist Curl Over A Bench,Forearms,Dumbbell,Average
Kettlebell thruster,Glutes,Kettlebells,Average
Single-Arm Push-Up,Chest,Body Only,Average
Band Hip Adductions,Adductors,Bands,Average
Single-arm kettlebell clean,Hamstrings,Kettlebells,Average
Preacher Hammer Dumbbell Curl,Biceps,Dumbbell,Average
Alternating Kettlebell Press,Shoulders,Kettlebells,Average
Split Squat with Dumbbells,Quadriceps,Dumbbell,Average
Standing Olympic Plate Hand Squeeze,Forearms,Other,Average
Sledgehammer swing,Abdominals,Other,Average
Kneeling Squat,Glutes,Barbell,Average
Single-arm kettlebell snatch,Shoulders,Kettlebells,Average
Close-grip barbell curl,Biceps,Barbell,Average
Box jump,Hamstrings,Other,Average
Standing cable crunch,Abdominals,Cable,Average
Leverage Incline Chest Press,Chest,Machine,Average
Standing barbell overhead triceps extension,Triceps,Barbell,Average
Lying cable triceps extension,Triceps,Cable,Average
Crunch - Hands Overhead,Abdominals,Body Only,Average
Cable Internal Rotation,Shoulders,Cable,Average
Leg Extensions,Quadriceps,Machine,Average
Close push-up to wide push-up,Chest,Body Only,Average
Single-arm dumbbell triceps extension,Triceps,Dumbbell,Average
Butterfly,Chest,Machine,Average
Decline dumbbell bench press,Chest,Dumbbell,Average
V-up,Abdominals,Body Only,Average
Seated face pull,Shoulders,Cable,Average
Barbell Bulgarian split squat,Quadriceps,Barbell,Average
Reverse-grip lat pull-down,Lats,Machine,Average
Standing Biceps Cable Curl,Biceps,Cable,Average
Single-arm cable seated row,Middle Back,Cable,Average
Single-arm kettlebell row,Chest,Dumbbell,Average
Scissors Jump,Quadriceps,Body Only,Average
Wide Stance Stiff Legs,Hamstrings,Barbell,Average
Rack Pull with Bands,Lower Back,Barbell,Average
Drag curl,Biceps,Barbell,Average
Hang Clean - Below the Knees,Quadriceps,Barbell,Average
Dumbbell external shoulder rotation,Shoulders,Dumbbell,Average
Single-arm bent-over cable rear delt fly,Shoulders,Cable,Average
Clean,Hamstrings,Barbell,Average
Single-arm incline lateral raise,Shoulders,Dumbbell,Average
Decline bar press sit-up,Abdominals,Barbell,Average
Barbell rear delt bent-over row,Shoulders,Barbell,Average
Calf Press,Calves,Machine,Average
Kettlebell alternating renegade row,Middle Back,Kettlebells,Average
Bosu Ball Cable Crunch With Side Bends,Abdominals,Cable,Average
Stomach Vacuum,Abdominals,Body Only,Average
Hammer Grip Incline DB Bench Press,Chest,Dumbbell,Average
Wide-grip hands-elevated push-up,Chest,Body Only,Average
Decline Dumbbell Triceps Extension,Triceps,Dumbbell,Average
Jumping jack-,Quadriceps,Body Only,Average
Push-Ups With Feet On An Exercise Ball,Chest,Body Only,Average
Seated cable shoulder press,Shoulders,Cable,Average
Barbell hack squat,Quadriceps,Barbell,Average
Feet-elevated push-up,Chest,Body Only,Average
Good Morning,Hamstrings,Barbell,Average
Leverage Chest Press,Chest,Machine,Average
Gironda Sternum Chins,Lats,Other,Average
Exercise ball crunch,Abdominals,Exercise Ball,Average
Seated rear delt fly,Shoulders,Dumbbell,Average
Standing face pull,Shoulders,Cable,Average
Glute Ham Raise,Hamstrings,Machine,Average
Russian twist,Abdominals,Body Only,Average
Seated Flat Bench Leg Pull-In,Abdominals,Weight Bench,Average
Barbell shrug,Traps,Barbell,Average
Standing cable rear delt row,Shoulders,Cable,Average
Flat Bench Lying Leg Raise,Abdominals,Body Only,Average
Hack Squat,Quadriceps,Barbell,Average
Dumbbell skullcrusher,Triceps,Dumbbell,Average
Man-maker,Middle Back,Dumbbell,Average
Pallof press,Abdominals,Other,Average
Knees tucked crunch,Abdominals,Body Only,Average
Straight-arm dumbbell pull-over,Chest,Dumbbell,Average
Arms-crossed jump squat,Quadriceps,Body Only,Average
Decline Smith Press,Chest,Machine,Average
Isometric Wipers,Chest,Body Only,Average
Skating,Quadriceps,Other,Average
Cable cross-over,Chest,Cable,Average
Treadmill running,Quadriceps,Machine,Average
One Arm Pronated Dumbbell Triceps Extension,Triceps,Dumbbell,Average
Single-arm kettlebell clean and jerk,Shoulders,Kettlebells,Average
Side To Side Chins,Lats,Body Only,Average
Incline Dumbbell Bench With Palms Facing In,Chest,Dumbbell,Average
Seated palms-down wrist curl,Forearms,Dumbbell,Average
Standing leg swing,Hamstrings,Body Only,Average
Clock push-up,Chest,Body Only,Average
Machine seated row,Lats,Machine,Average
Lying Face Up Plate Neck Resistance,Neck,Other,Average
Weighted sissy squat,Quadriceps,Other,Average
Dumbbell Raise,Shoulders,Dumbbell,Average
Palms-Down Dumbbell Wrist Curl Over A Bench,Forearms,Dumbbell,Average
One Arm Supinated Dumbbell Triceps Extension,Triceps,Dumbbell,Average
Stationary bike,Quadriceps,Machine,Average
Dumbbell bent-over row,Middle Back,Dumbbell,Average
Barbell thruster,Quadriceps,Barbell,Average
Flutter Kicks,Glutes,Weight Bench,Average
Dumbbell sumo squat,Quadriceps,Dumbbell,Average
Barbell upright row,Shoulders,Barbell,Average
Superman,Lower Back,Body Only,Average
Straight-Arm Pulldown,Lats,Cable,Average
Barbell stiff-legged deadlift,Hamstrings,Barbell,Average
Standing One-Arm Dumbbell Triceps Extension,Triceps,Dumbbells,Average
Smith machine bench press,Chest,Machine,Average
Seated Side Lateral Raise,Shoulders,Dumbbell,Average
Dumbbell Lying Rear Lateral Raise,Shoulders,Dumbbell,Average
Dumbbell preacher curl,Biceps,Dumbbell,Average
Front Raise And Pullover,Chest,Barbell,Average
Dumbbell seated box jump,Quadriceps,Dumbbell,Average
Middle Back Shrug,Middle Back,Dumbbell,Average
Incline face-down bar front raise,Shoulders,E-Z Curl Bar,Average
Butt-Ups,Abdominals,Body Only,Average
Band Good Morning (Pull Through),Hamstrings,Bands,Average
Bodyweight Reverse Lunge,Quadriceps,Body Only,Average
Seated One-Arm Dumbbell Palms-Down Wrist Curl,Forearms,Dumbbell,Average
Glute Kickback,Glutes,Body Only,Average
Treadmill jogging,Quadriceps,Machine,Average
Plate Pinch,Forearms,Other,Average
Yates Row Reverse Grip,Middle Back,Barbell,Average
Linear Acceleration Wall Drill,Hamstrings,Body Only,Average
Reverse-grip bench press,Triceps,Barbell,Average
Leverage Decline Chest Press,Chest,Machine,Average
Chain Handle Extension,Triceps,Other,Average
